Transcript_ID,KO_IDs,Pathway_IDs,Reaction_IDs,Module_Descriptions,Module_Groups,Module_Prefixes
NODE_10032_length_2869_cov_1845.702128_g3958_i3,metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14],Cysteine and methionine metabolism;Selenocompound metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids,5-methyltetrahydropteroyltri-L-glutamate:L-homocysteine S-methyltransferase; 5-Methyltetrahydropteroyltri-L-glutamate + L-Homocysteine <=> Tetrahydropteroyltri-L-glutamate + L-Methionine;5-methyltetrahydropteroyltri-L-glutamate:L-selenohomocysteine Se-methyltransferase; Selenohomocysteine + 5-Methyltetrahydropteroyltri-L-glutamate <=> L-Selenomethionine + Tetrahydropteroyltri-L-glutamate,"Methionine biosynthesis, apartate => homoserine => methionine",Cysteine and methionine metabolism,Nucleotide and amino acid metabolism
NODE_10034_length_2869_cov_260.771631_g2645_i2,PIN; auxin efflux carrier family protein,,,,,
NODE_10037_length_2869_cov_74.057447_g4899_i0,"UTP25, DEF; U3 small nucleolar RNA-associated protein 25",,,,,
NODE_10038_length_2869_cov_68.669504_g2842_i1,UBN; ubinuclein,,,,,
NODE_10039_length_2869_cov_60.840426_g4900_i0,"DRAP1, NC2-alpha; Dr1-associated corepressor",,,,,
NODE_100421_length_327_cov_2.262590_g68040_i0,"SLX1; structure-specific endonuclease subunit SLX1 [EC:3.6.1.-];SHOC2, SUR8; leucine-rich repeat protein SHOC2",Fanconi anemia pathway;Ras signaling pathway,,,,
NODE_100429_length_327_cov_2.057554_g68048_i0,IRAK4; interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1],MAPK signaling pathway;NF-kappa B signaling pathway;Toll-like receptor signaling pathway;NOD-like receptor signaling pathway;Toll and Imd signaling pathway;Neurotrophin signaling pathway;Pertussis;Leishmaniasis;Chagas disease;Toxoplasmosis;Tuberculosis;Measles;Influenza A,,M00686,,
NODE_10043_length_2869_cov_8.933333_g4901_i0,"KIFC1, ncd; kinesin family member C1 (minus-end-directed kinesin ATPase) [EC:5.6.1.4];KIFC2_3; kinesin family member C2/C3",,,,,
NODE_10044_length_2868_cov_956.662292_g4902_i0,"speE, SRM, SPE3; spermidine synthase [EC:2.5.1.16]",Cysteine and methionine metabolism;Arginine and proline metabolism;beta-Alanine metabolism;Glutathione metabolism;Metabolic pathways,S-adenosylmethioninamine:putrescine 3-aminopropyltransferase; S-Adenosylmethioninamine + Putrescine <=> 5'-Methylthioadenosine + Spermidine;S-adenosylmethioninamine:spermidine 3-aminopropyltransferase; S-Adenosylmethioninamine + Spermidine <=> 5'-Methylthioadenosine + Spermine;S-adenosylmethioninamine:cadaverine 3-aminopropyltransferase; S-Adenosylmethioninamine + Cadaverine <=> 5'-Methylthioadenosine + Aminopropylcadaverine,"Methionine salvage pathway;Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine",Cysteine and methionine metabolism;Polyamine biosynthesis,Nucleotide and amino acid metabolism;Nucleotide and amino acid metabolism
NODE_100519_length_327_cov_1.269784_g68138_i0,RNF115_126; E3 ubiquitin-protein ligase RNF115/126 [EC:2.3.2.27],,,,,
NODE_10051_length_2868_cov_27.564739_g4905_i0,ORC1; origin recognition complex subunit 1,Cell cycle;Cell cycle - yeast;Meiosis - yeast,,Origin recognition complex,Replication system,Genetic information processing
NODE_10052_length_2868_cov_4.562611_g4906_i0,"CDC20; cell division cycle 20, cofactor of APC complex",Cell cycle;Cell cycle - yeast;Meiosis - yeast;Oocyte meiosis;Ubiquitin mediated proteolysis;Human T-cell leukemia virus 1 infection;Viral carcinogenesis,,APC/C complex,Ubiquitin system,Genetic information processing
NODE_100575_length_326_cov_2.693141_g68194_i0,BRD9; bromodomain-containing protein 9,,,,,
NODE_100594_length_326_cov_2.422383_g68213_i0,E5.5.1.13; ent-copalyl diphosphate synthase [EC:5.5.1.13];CPS4; syn-copalyl-diphosphate synthase [EC:5.5.1.14],Diterpenoid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,ent-copalyl-diphosphate lyase; Geranylgeranyl diphosphate <=> ent-Copalyl diphosphate;9alpha-copalyl-diphosphate lyase (decyclizing); Geranylgeranyl diphosphate <=> 9alpha-Copalyl diphosphate,,,
NODE_10060_length_2866_cov_406.072062_g811_i1,HNRNPR; heterogeneous nuclear ribonucleoprotein R,,,,,
NODE_10061_length_2866_cov_393.577565_g4149_i2,dxs; 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7],Thiamine metabolism;Terpenoid backbone biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;map01130,1-deoxy-D-xylulose-5-phosphate pyruvate-lyase (carboxylating); Pyruvate + D-Glyceraldehyde 3-phosphate <=> 1-Deoxy-D-xylulose 5-phosphate + CO2,"C5 isoprenoid biosynthesis, non-mevalonate pathway",Terpenoid backbone biosynthesis,Carbohydrate and lipid metabolism
NODE_100676_length_326_cov_1.501805_g68295_i0,ACP7; acid phosphatase type 7,,,,,
NODE_10069_length_2865_cov_59.203480_g4919_i0,DAGL; sn1-specific diacylglycerol lipase [EC:3.1.1.116],Retrograde endocannabinoid signaling;Phototransduction - fly;Aldosterone synthesis and secretion,,,,
NODE_10073_length_2865_cov_25.814631_g4849_i1,SSH; protein phosphatase slingshot [EC:3.1.3.16 3.1.3.48];K14165; atypical dual specificity phosphatase [EC:3.1.3.16 3.1.3.48],Axon guidance;Regulation of actin cytoskeleton,,,,
NODE_100748_length_325_cov_4.956522_g68367_i0,RPS2; disease resistance protein RPS2;SUMM2; NB-LRR protein SUMM2,MAPK signaling pathway - plant;Plant-pathogen interaction,,,,
NODE_100763_length_325_cov_2.942029_g68382_i0,CAD; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195],Phenylpropanoid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,coniferyl alcohol:NADP+ oxidoreductase; Coniferyl alcohol + NADP+ <=> Coniferyl aldehyde + NADPH + H+;sinapyl alcohol:NADP+ oxidoreductase; Sinapyl alcohol + NADP+ <=> Sinapoyl aldehyde + NADPH + H+;cinnamyl-alcohol:NADP+ oxidoreductase; 5-Hydroxyconiferaldehyde + NADPH + H+ <=> 5-Hydroxyconiferyl alcohol + NADP+;cinnamyl-alcohol:NADP+ oxidoreductase; Caffeic aldehyde + NADPH + H+ <=> Caffeyl alcohol + NADP+;4-coumaryl alcohol:NADP+ oxidoreductase; 4-Hydroxycinnamyl aldehyde + NADPH + H+ <=> 4-Coumaryl alcohol + NADP+,"Lignin biosynthesis, cinnamate => lignin",Phenylpropanoid and flavonoid biosynthesis,Nucleotide and amino acid metabolism
NODE_1007_length_5379_cov_29.126454_g496_i0,TM9SF2_4; transmembrane 9 superfamily member 2/4,,,,,
NODE_10080_length_2864_cov_19.746004_g4924_i0,"SLC44A2_4_5; solute carrier family 44 (choline transporter-like protein), member 2/4/5",Choline metabolism in cancer,,,,
NODE_10081_length_2864_cov_3.236234_g4925_i0,"DDX11, CHL1, CTF1; chromosome transmission fidelity protein 1 [EC:5.6.2.7]",,,,,
NODE_100838_length_325_cov_1.695652_g68457_i0,DELLA; DELLA protein,Plant hormone signal transduction,,,,
NODE_100875_length_325_cov_1.452899_g68494_i0,"XPO1, CRM1; exportin-1",Ribosome biogenesis in eukaryotes;Nucleocytoplasmic transport;MAPK signaling pathway - fly;Influenza A;Human T-cell leukemia virus 1 infection;Epstein-Barr virus infection,,,,
NODE_100896_length_325_cov_1.307971_g68515_i0,IRAK4; interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1];FLS2; LRR receptor-like serine/threonine-protein kinase FLS2 [EC:2.7.11.1],MAPK signaling pathway;MAPK signaling pathway - plant;NF-kappa B signaling pathway;Toll-like receptor signaling pathway;NOD-like receptor signaling pathway;Toll and Imd signaling pathway;Plant-pathogen interaction;Neurotrophin signaling pathway;Pertussis;Leishmaniasis;Chagas disease;Toxoplasmosis;Tuberculosis;Measles;Influenza A,,M00686,,
NODE_100898_length_325_cov_1.282609_g68517_i0,"galM, GALM; aldose 1-epimerase [EC:5.1.3.3]",Glycolysis / Gluconeogenesis;Galactose metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;map01130,D-glucose 1-epimerase; alpha-D-Glucose <=> beta-D-Glucose;D-galactose 1-epimerase; aldose 1-epimerase; D-Galactose <=> alpha-D-Galactose,M00632,,
NODE_10091_length_2862_cov_190.557768_g4931_i0,YME1; ATP-dependent metalloprotease [EC:3.4.24.-],Mitophagy - yeast,,,,
NODE_10093_length_2862_cov_97.733025_g3518_i1,"ARR-B; GARP family transcription factor, ARR-B subfamily",Plant hormone signal transduction,,,,
NODE_10095_length_2862_cov_71.265197_g4933_i0,EHMT; [histone H3]-lysine9 N-trimethyltransferase EHMT [EC:2.1.1.355],Lysine degradation;Longevity regulating pathway,"Protein lysine + S-Adenosyl-L-methionine <=> Protein N6-methyl-L-lysine + S-Adenosyl-L-homocysteine;S-adenosyl-L-methionine:histone-L-lysine N6-methyltransferase; S-Adenosyl-L-methionine + Histone-L-lysine <=> S-Adenosyl-L-homocysteine + Histone N6-methyl-L-lysine;S-adenosyl-L-methionine:cytochrome-c-L-lysine N6-methyltransferase; S-Adenosyl-L-methionine + Protein N6-methyl-L-lysine <=> S-Adenosyl-L-homocysteine + Protein N6,N6-dimethyl-L-lysine;S-adenosyl-L-methionine:cytochrome-c-L-lysine N6-methyltransferase; S-Adenosyl-L-methionine + Protein N6,N6-dimethyl-L-lysine <=> S-Adenosyl-L-homocysteine + Protein N6,N6,N6-trimethyl-L-lysine",,,
NODE_10098_length_2861_cov_868.466572_g4935_i0,pgm; phosphoglucomutase [EC:5.4.2.2],Glycolysis / Gluconeogenesis;Pentose phosphate pathway;Galactose metabolism;Purine metabolism;Starch and sucrose metabolism;Amino sugar and nucleotide sugar metabolism;Streptomycin biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;map01130,"alpha-D-glucose 1-phosphate 1,6-phosphomutase; D-Glucose 1-phosphate <=> alpha-D-Glucose 6-phosphate;D-ribose 1,5-phosphomutase; alpha-D-Ribose 1-phosphate <=> D-Ribose 5-phosphate;alpha-D-glucose 1,6-phosphomutase; D-Glucose 1-phosphate <=> D-Glucose 6-phosphate",M00549,,
NODE_10106_length_2861_cov_55.672831_g4937_i0,E2.3.1.158; phospholipid:diacylglycerol acyltransferase [EC:2.3.1.158],Glycerolipid metabolism,"phospholipid:1,2-diacyl-sn-glycerol O-acyltransferase; Phospholipid + 1,2-Diacyl-sn-glycerol <=> Lysophospholipid + Triacylglycerol",,,
NODE_10109_length_2860_cov_1146.052650_g1585_i6,ppa; inorganic pyrophosphatase [EC:3.6.1.1],Oxidative phosphorylation,,,,
NODE_101108_length_324_cov_1.134545_g68727_i0,CYP77A; cytochrome P450 family 77 subfamily A [EC:1.14.-.-],,,,,
NODE_10111_length_2860_cov_161.278193_g4939_i0,THOC5; THO complex subunit 5,Nucleocytoplasmic transport,,THC complex;TREX complex,RNA processing;RNA processing,Genetic information processing;Genetic information processing
NODE_10115_length_2860_cov_71.045891_g4766_i1,AMPD; AMP deaminase [EC:3.5.4.6],Purine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;map01130,AMP aminohydrolase; AMP + H2O <=> IMP + Ammonia,,,
NODE_10116_length_2860_cov_48.418356_g3712_i1,CDK12_13; cyclin-dependent kinase 12/13 [EC:2.7.11.22 2.7.11.23],,,,,
NODE_10118_length_2860_cov_24.600142_g4943_i0,"PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]",Glycolysis / Gluconeogenesis;Carbon fixation by Calvin cycle;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;map01130;Carbon metabolism;Biosynthesis of amino acids,ATP:3-phospho-D-glycerate 1-phosphotransferase; ATP + 3-Phospho-D-glycerate <=> ADP + 3-Phospho-D-glyceroyl phosphate,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate;Glycolysis, core module involving three-carbon compounds;Gluconeogenesis, oxaloacetate => fructose-6P;Reductive pentose phosphate cycle (Calvin cycle);Reductive pentose phosphate cycle, RuBP + CO2 => glyceraldehyde-3P;Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glyceraldehyde-3P + pyruvate;M00552",Central carbohydrate metabolism;Central carbohydrate metabolism;Central carbohydrate metabolism;Carbon fixation;Carbon fixation;Central carbohydrate metabolism;,Carbohydrate and lipid metabolism;Carbohydrate and lipid metabolism;Carbohydrate and lipid metabolism;Energy metabolism;Energy metabolism;Carbohydrate and lipid metabolism;
NODE_101204_length_323_cov_1.967153_g68823_i0,SYF2; pre-mRNA-splicing factor SYF2,Spliceosome,,"Spliceosome, 35S U5-snRNP",Spliceosome,Genetic information processing
NODE_101215_length_323_cov_1.861314_g68834_i0,TRRAP; transformation/transcription domain-associated protein,Human T-cell leukemia virus 1 infection,,,,
NODE_10122_length_2860_cov_4.017787_g4946_i0,TRRAP; transformation/transcription domain-associated protein,Human T-cell leukemia virus 1 infection,,,,
NODE_10123_length_2859_cov_2067.077224_g4190_i2,"INV, sacA; beta-fructofuranosidase [EC:3.2.1.26]",Galactose metabolism;Starch and sucrose metabolism;Metabolic pathways,sucrose glucohydrolase; Sucrose + H2O <=> D-Fructose + D-Glucose;sucrose alpha-glucohydrolase; Sucrose + H2O <=> beta-D-Fructose + alpha-D-Glucose;raffinose fructohydrolase; Raffinose + H2O <=> Melibiose + D-Fructose;stachyose fructohydrolase; Stachyose + H2O <=> D-Gal alpha 1->6D-Gal alpha 1->6D-Glucose + D-Fructose;sucrose 6-phosphate fructohydrolase; Sucrose 6-phosphate + H2O <=> D-Fructose + D-Glucose 6-phosphate;Sucrose + H2O <=> beta-D-Fructose + alpha-D-Glucose,,,
NODE_101259_length_323_cov_1.518248_g68878_i0,"SHOC2, SUR8; leucine-rich repeat protein SHOC2",Ras signaling pathway,,,,
NODE_10125_length_2859_cov_101.283274_g2450_i2,PPP2R3; serine/threonine-protein phosphatase 2A regulatory subunit B'',mRNA surveillance pathway;Sphingolipid signaling pathway;PI3K-Akt signaling pathway;AMPK signaling pathway;Adrenergic signaling in cardiomyocytes;Dopaminergic synapse;Human papillomavirus infection,,,,
NODE_10126_length_2859_cov_20.904270_g3317_i4,CHD1L; chromodomain-helicase-DNA-binding protein 1-like [EC:5.6.2.-],,,,,
NODE_10128_length_2858_cov_313.808473_g4948_i0,MDH2; malate dehydrogenase [EC:1.1.1.37],Citrate cycle (TCA cycle);Cysteine and methionine metabolism;Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Carbon fixation by Calvin cycle;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;map01130;Carbon metabolism,(S)-malate:NAD+ oxidoreductase; (S)-Malate + NAD+ <=> Oxaloacetate + NADH + H+;(2R)-3-sulfolactate:NAD+ oxidoreductase; (2R)-3-Sulfolactate + NAD+ <=> 3-Sulfopyruvate + NADH + H+,"Citrate cycle (TCA cycle, Krebs cycle);Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate;Glyoxylate cycle;CAM (Crassulacean acid metabolism), dark;C4-dicarboxylic acid cycle, NAD+ -malic enzyme type",Central carbohydrate metabolism;Central carbohydrate metabolism;Other carbohydrate metabolism;Carbon fixation;Carbon fixation,Carbohydrate and lipid metabolism;Carbohydrate and lipid metabolism;Carbohydrate and lipid metabolism;Energy metabolism;Energy metabolism
NODE_101318_length_322_cov_51.992674_g68937_i0,SLX1; structure-specific endonuclease subunit SLX1 [EC:3.6.1.-],Fanconi anemia pathway,,,,
NODE_101331_length_322_cov_3.527473_g68950_i0,"E2.4.1.218; hydroquinone glucosyltransferase [EC:2.4.1.218];UGT75L6, UGTCs2; crocetin glucosyltransferase [EC:2.4.1.271];UGT85A23_24; 7-deoxyloganetin glucosyltransferase [EC:2.4.1.324]",,,,,
