Transcript_ID,KO_IDs,Pathway_IDs,Module_IDs,Reaction_IDs
NODE_10044_length_2868_cov_956.662292_g4902_i0,ko:K00797,"ko00270,ko00330,ko00410,ko00480,ko01100,map00270,map00330,map00410,map00480,map01100","M00034,M00133","R01920,R02869,R08359"
NODE_100519_length_327_cov_1.269784_g68138_i0,ko:K11982,,,
NODE_10051_length_2868_cov_27.564739_g4905_i0,ko:K02603,"ko04110,ko04111,ko04113,map04110,map04111,map04113",M00284,
NODE_10052_length_2868_cov_4.562611_g4906_i0,ko:K03363,"ko04110,ko04111,ko04113,ko04114,ko04120,ko05166,ko05203,map04110,map04111,map04113,map04114,map04120,map05166,map05203",M00389,
NODE_100575_length_326_cov_2.693141_g68194_i0,ko:K22184,,,
NODE_100594_length_326_cov_2.422383_g68213_i0,"ko:K04120,ko:K14043","ko00904,ko01100,ko01110,map00904,map01100,map01110",,"R02068,R06312"
NODE_10060_length_2866_cov_406.072062_g811_i1,ko:K13161,,,
NODE_10061_length_2866_cov_393.577565_g4149_i2,ko:K01662,"ko00730,ko00900,ko01100,ko01110,ko01130,map00730,map00900,map01100,map01110,map01130",M00096,R05636
NODE_100676_length_326_cov_1.501805_g68295_i0,ko:K22390,,,
NODE_10069_length_2865_cov_59.203480_g4919_i0,ko:K13806,"ko04723,ko04745,ko04925,map04723,map04745,map04925",,
NODE_10073_length_2865_cov_25.814631_g4849_i1,"ko:K05766,ko:K14165","ko04360,ko04810,map04360,map04810",,
NODE_100748_length_325_cov_4.956522_g68367_i0,"ko:K13459,ko:K20599","ko04016,ko04626,map04016,map04626",,
NODE_100763_length_325_cov_2.942029_g68382_i0,ko:K00083,"ko00940,ko01100,ko01110,map00940,map01100,map01110",M00039,"R02593,R03918,R06570,R06571,R07437"
NODE_1007_length_5379_cov_29.126454_g496_i0,ko:K17086,,,
NODE_10080_length_2864_cov_19.746004_g4924_i0,ko:K15377,"ko05231,map05231",,
NODE_10081_length_2864_cov_3.236234_g4925_i0,ko:K11273,,,
NODE_100838_length_325_cov_1.695652_g68457_i0,ko:K14494,"ko04075,map04075",,
NODE_100875_length_325_cov_1.452899_g68494_i0,ko:K14290,"ko03008,ko03013,ko04013,ko05164,ko05166,ko05169,map03008,map03013,map04013,map05164,map05166,map05169",,
NODE_100896_length_325_cov_1.307971_g68515_i0,"ko:K04733,ko:K13420","ko04010,ko04016,ko04064,ko04620,ko04621,ko04624,ko04626,ko04722,ko05133,ko05140,ko05142,ko05145,ko05152,ko05162,ko05164,map04010,map04016,map04064,map04620,map04621,map04624,map04626,map04722,map05133,map05140,map05142,map05145,map05152,map05162,map05164",M00686,
NODE_100898_length_325_cov_1.282609_g68517_i0,ko:K01785,"ko00010,ko00052,ko01100,ko01110,ko01120,ko01130,map00010,map00052,map01100,map01110,map01120,map01130",M00632,"R01602,R10619"
NODE_10091_length_2862_cov_190.557768_g4931_i0,ko:K08955,"ko04139,map04139",,
NODE_10093_length_2862_cov_97.733025_g3518_i1,ko:K14491,"ko04075,map04075",,
NODE_10095_length_2862_cov_71.265197_g4933_i0,ko:K11420,"ko00310,ko04211,map00310,map04211",,"R03875,R03938,R04866,R04867"
NODE_10098_length_2861_cov_868.466572_g4935_i0,ko:K01835,"ko00010,ko00030,ko00052,ko00230,ko00500,ko00520,ko00521,ko01100,ko01110,ko01120,ko01130,map00010,map00030,map00052,map00230,map00500,map00520,map00521,map01100,map01110,map01120,map01130",M00549,"R00959,R01057,R08639"
NODE_10106_length_2861_cov_55.672831_g4937_i0,ko:K00679,"ko00561,map00561",,R05333
NODE_10109_length_2860_cov_1146.052650_g1585_i6,ko:K01507,"ko00190,map00190",,
NODE_101108_length_324_cov_1.134545_g68727_i0,ko:K21995,,,
NODE_10111_length_2860_cov_161.278193_g4939_i0,ko:K13174,"ko03013,map03013","M00405,M00406",
NODE_10115_length_2860_cov_71.045891_g4766_i1,ko:K01490,"ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130",,R00181
NODE_10116_length_2860_cov_48.418356_g3712_i1,ko:K08819,,,
NODE_10118_length_2860_cov_24.600142_g4943_i0,ko:K00927,"ko00010,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00710,map01100,map01110,map01120,map01130,map01200,map01230","M00001,M00002,M00003,M00165,M00166,M00308,M00552",R01512
NODE_101204_length_323_cov_1.967153_g68823_i0,ko:K12868,"ko03040,map03040",M00355,
NODE_101215_length_323_cov_1.861314_g68834_i0,ko:K08874,"ko05166,map05166",,
NODE_10122_length_2860_cov_4.017787_g4946_i0,ko:K08874,"ko05166,map05166",,
NODE_10123_length_2859_cov_2067.077224_g4190_i2,ko:K01193,"ko00052,ko00500,ko01100,map00052,map00500,map01100",,"R00801,R00802,R02410,R03635,R03921,R06088"
NODE_101259_length_323_cov_1.518248_g68878_i0,ko:K19613,"ko04014,map04014",,
NODE_10125_length_2859_cov_101.283274_g2450_i2,ko:K11583,"ko03015,ko04071,ko04151,ko04152,ko04261,ko04728,ko05165,map03015,map04071,map04151,map04152,map04261,map04728,map05165",,
NODE_10126_length_2859_cov_20.904270_g3317_i4,ko:K20092,,,
NODE_10128_length_2858_cov_313.808473_g4948_i0,ko:K00026,"ko00020,ko00270,ko00620,ko00630,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00270,map00620,map00630,map00710,map01100,map01110,map01120,map01130,map01200","M00009,M00011,M00012,M00168,M00171","R00342,R07136"
NODE_101318_length_322_cov_51.992674_g68937_i0,ko:K15078,"ko03460,map03460",,
NODE_101331_length_322_cov_3.527473_g68950_i0,"ko:K08237,ko:K21371,ko:K21374",,,
NODE_101333_length_322_cov_3.260073_g68952_i0,"ko:K00495,ko:K00512,ko:K07408,ko:K07418,ko:K11868","ko00140,ko00380,ko00460,ko00590,ko00591,ko00830,ko00980,ko01100,ko01110,ko04212,ko04726,ko04750,ko04913,ko04917,ko04927,ko04934,ko05204,map00140,map00380,map00460,map00590,map00591,map00830,map00980,map01100,map01110,map04212,map04726,map04750,map04913,map04917,map04927,map04934,map05204","M00109,M00110","R02211,R02354,R02355,R03089,R03408,R03629,R03783,R04093,R04852,R04853,R07000,R07001,R07021,R07022,R07042,R07043,R07044,R07045,R07046,R07048,R07050,R07051,R07052,R07055,R07056,R07079,R07080,R07081,R07085,R07087,R07098,R07099,R07638,R08390,R08392,R08517,R08518,R09418,R09423,R09442,R10041,R11733"
NODE_101334_length_322_cov_3.157509_g68953_i0,ko:K14963,"ko04934,map04934",,
NODE_101393_length_322_cov_1.912088_g69012_i0,ko:K19613,"ko04014,map04014",,
NODE_10140_length_2858_cov_15.032752_g4955_i0,ko:K07195,"ko04910,map04910",,
NODE_10141_length_2857_cov_1096.219017_g4956_i0,ko:K13126,"ko03013,ko03015,ko03018,map03013,map03015,map03018",,
NODE_10143_length_2857_cov_219.083333_g1838_i1,ko:K17800,"ko04139,map04139",,
NODE_101458_length_322_cov_1.333333_g69077_i0,ko:K01535,"ko00190,map00190",,
NODE_101466_length_322_cov_1.304029_g69085_i0,ko:K13692,,,
NODE_101495_length_322_cov_1.087912_g69114_i0,ko:K00423,"ko00053,ko01100,map00053,map01100",,R00068
NODE_101511_length_321_cov_19.599265_g69130_i0,ko:K13459,"ko04626,map04626",,
NODE_101514_length_321_cov_6.757353_g69133_i0,ko:K02900,"ko03010,map03010",M00177,
NODE_101536_length_321_cov_2.952206_g69155_i0,ko:K10398,,,
NODE_101543_length_321_cov_2.819853_g69162_i0,ko:K22184,,,
NODE_101569_length_321_cov_2.279412_g69188_i0,ko:K04730,"ko04010,ko04064,ko04620,ko04624,ko04722,ko05133,ko05140,ko05142,ko05145,ko05152,ko05162,ko05169,map04010,map04064,map04620,map04624,map04722,map05133,map05140,map05142,map05145,map05152,map05162,map05169",M00686,
NODE_10157_length_2857_cov_21.636752_g4962_i0,ko:K12127,"ko04712,map04712",,
NODE_101580_length_321_cov_2.080882_g69199_i0,ko:K04718,"ko00600,ko01100,ko04020,ko04071,ko04072,ko04370,ko04371,ko04666,ko05152,map00600,map01100,map04020,map04071,map04072,map04370,map04371,map04666,map05152",M00100,"R01926,R02976"
NODE_101601_length_321_cov_1.904412_g69220_i0,ko:K12598,"ko03018,map03018",M00393,
NODE_101637_length_321_cov_1.580882_g69256_i0,ko:K03046,"ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020",M00183,"R00435,R00441,R00442,R00443"
NODE_101638_length_321_cov_1.580882_g69257_i0,ko:K01703,"ko00290,ko00660,ko00966,ko01100,ko01110,ko01210,ko01230,map00290,map00660,map00966,map01100,map01110,map01210,map01230","M00432,M00535","R03896,R03898,R03968,R04001,R08620,R08624,R08628,R08634,R08641,R08645,R10170"
NODE_10166_length_2855_cov_3053.078047_g4965_i0,ko:K03146,"ko00730,ko01100,map00730,map01100",,R10685
NODE_101692_length_321_cov_1.279412_g69311_i0,ko:K01051,"ko00040,ko01100,map00040,map01100",M00081,R02362
NODE_101703_length_321_cov_1.165441_g69322_i0,ko:K01213,"ko00040,ko01100,map00040,map01100",M00081,"R01982,R07413"
NODE_10170_length_2855_cov_101.423378_g4966_i0,ko:K10875,"ko03440,map03440",,
NODE_101733_length_320_cov_12.195572_g69352_i0,"ko:K04733,ko:K13420","ko04010,ko04016,ko04064,ko04620,ko04621,ko04624,ko04626,ko04722,ko05133,ko05140,ko05142,ko05145,ko05152,ko05162,ko05164,map04010,map04016,map04064,map04620,map04621,map04624,map04626,map04722,map05133,map05140,map05142,map05145,map05152,map05162,map05164",M00686,
NODE_101764_length_320_cov_2.922509_g69383_i0,ko:K22184,,,
NODE_101775_length_320_cov_2.671587_g69394_i0,ko:K13993,"ko04141,map04141",,
NODE_10177_length_2854_cov_189.525490_g4970_i0,ko:K08679,"ko00520,ko01100,map00520,map01100",,R01385
NODE_101821_length_320_cov_1.959410_g69440_i0,ko:K01051,"ko00040,ko01100,map00040,map01100",M00081,R02362
NODE_101833_length_320_cov_1.837638_g69452_i0,"ko:K01188,ko:K01237","ko00380,ko00460,ko00500,ko00940,ko01100,ko01110,map00380,map00460,map00500,map00940,map01100,map01110",,"R00026,R02558,R02887,R02985,R03527,R04094,R04949,R04998,R10035,R10039,R10040"
NODE_101842_length_320_cov_1.726937_g69461_i0,ko:K17943,,,
NODE_101854_length_320_cov_1.723247_g69473_i0,ko:K14516,"ko04016,ko04075,map04016,map04075",,
NODE_10185_length_2854_cov_54.341533_g4247_i2,ko:K13207,,,
NODE_101863_length_320_cov_1.678967_g69482_i0,ko:K04498,"ko04024,ko04066,ko04068,ko04110,ko04310,ko04330,ko04350,ko04520,ko04630,ko04720,ko04916,ko04919,ko04922,ko05016,ko05152,ko05161,ko05164,ko05165,ko05166,ko05167,ko05168,ko05169,ko05200,ko05203,ko05206,ko05211,ko05215,map04024,map04066,map04068,map04110,map04310,map04330,map04350,map04520,map04630,map04720,map04916,map04919,map04922,map05016,map05152,map05161,map05164,map05165,map05166,map05167,map05168,map05169,map05200,map05203,map05206,map05211,map05215",,
NODE_101865_length_320_cov_1.630996_g69484_i0,ko:K08819,,,
NODE_101917_length_320_cov_1.332103_g69536_i0,ko:K18810,,M00692,
NODE_10193_length_2853_cov_113.658345_g4982_i0,ko:K15920,"ko00520,ko01100,map00520,map01100",,R01433
NODE_101952_length_320_cov_0.948339_g69571_i0,ko:K13448,"ko04626,map04626",,
NODE_101955_length_319_cov_274.422222_g69574_i0,ko:K02210,"ko03030,ko04110,ko04111,ko04113,map03030,map04110,map04111,map04113",M00285,
NODE_101960_length_319_cov_7.862963_g69579_i0,ko:K09188,"ko00310,map00310",,"R03875,R03938,R04866,R04867"
NODE_10198_length_2853_cov_8.960770_g4986_i0,ko:K17964,,,
NODE_102003_length_319_cov_2.629630_g69622_i0,ko:K01426,"ko00330,ko00360,ko00380,ko00627,ko00643,ko01120,map00330,map00360,map00380,map00627,map00643,map01120",,"R02540,R03096,R03180,R03909,R05551,R05590"
NODE_102018_length_319_cov_2.362963_g69637_i0,ko:K04733,"ko04010,ko04064,ko04620,ko04621,ko04624,ko04722,ko05133,ko05140,ko05142,ko05145,ko05152,ko05162,ko05164,map04010,map04064,map04620,map04621,map04624,map04722,map05133,map05140,map05142,map05145,map05152,map05162,map05164",M00686,
NODE_102043_length_319_cov_2.100000_g69662_i0,ko:K19613,"ko04014,map04014",,
NODE_102062_length_319_cov_1.922222_g69681_i0,ko:K03695,"ko04213,map04213",,
NODE_102073_length_319_cov_1.814815_g69692_i0,ko:K00079,"ko00590,ko00790,ko00980,ko01100,ko05204,map00590,map00790,map00980,map01100,map05204",,"R02581,R02975,R04285,R09420"
NODE_102084_length_319_cov_1.733333_g69703_i0,ko:K13459,"ko04626,map04626",,
NODE_1020_length_5355_cov_121.835092_g432_i2,ko:K03010,"ko00230,ko00240,ko01100,ko03020,ko05016,ko05169,map00230,map00240,map01100,map03020,map05016,map05169",M00180,"R00435,R00441,R00442,R00443"
NODE_10211_length_2850_cov_262.251339_g4606_i1,ko:K18647,,,
NODE_10212_length_2850_cov_255.192788_g4994_i0,ko:K14638,,,
NODE_102173_length_319_cov_0.955556_g69792_i0,ko:K08504,"ko04130,map04130",,
NODE_102177_length_319_cov_0.929630_g69796_i0,ko:K01213,"ko00040,ko01100,map00040,map01100",M00081,"R01982,R07413"
NODE_102179_length_319_cov_0.770370_g69798_i0,ko:K08504,"ko04130,map04130",,
NODE_102198_length_318_cov_3.691450_g69817_i0,ko:K13459,"ko04626,map04626",,
NODE_10219_length_2849_cov_537.076786_g5000_i0,ko:K02218,"ko04011,ko04392,map04011,map04392",,
NODE_10220_length_2849_cov_196.359643_g4642_i2,ko:K13168,,,
NODE_102243_length_318_cov_2.148699_g69862_i0,"ko:K01051,ko:K01074","ko00040,ko00062,ko01100,ko01212,ko04142,map00040,map00062,map01100,map01212,map04142",M00081,"R01274,R02362"
NODE_10224_length_2849_cov_90.380000_g5002_i0,ko:K07195,"ko04910,map04910",,
NODE_10225_length_2849_cov_83.267143_g5003_i0,ko:K12662,"ko03040,map03040",M00354,
NODE_10227_length_2849_cov_56.365714_g4827_i1,ko:K10863,,,
NODE_102284_length_318_cov_1.791822_g69903_i0,ko:K10609,"ko03420,ko04120,map03420,map04120","M00385,M00386",
NODE_10231_length_2848_cov_142.300822_g4268_i1,ko:K20293,,,
NODE_102339_length_318_cov_1.353160_g69958_i0,ko:K15414,"ko05168,map05168",,
NODE_10235_length_2848_cov_43.641300_g5007_i0,ko:K10401,,,
NODE_102366_length_318_cov_1.159851_g69985_i0,ko:K09338,,,
NODE_10236_length_2848_cov_43.347624_g5008_i0,ko:K03848,"ko00510,ko01100,map00510,map01100",M00055,R06262
NODE_10241_length_2847_cov_607.674768_g3268_i1,ko:K02133,"ko00190,ko01100,ko04714,ko05010,ko05012,ko05016,map00190,map01100,map04714,map05010,map05012,map05016",M00158,
NODE_10242_length_2847_cov_327.238742_g3060_i1,ko:K10393,,,
NODE_10243_length_2847_cov_260.165118_g4754_i1,ko:K11434,"ko04068,ko04922,map04068,map04922",,"R11216,R11217,R11219"
NODE_102468_length_317_cov_2.134328_g70087_i0,"ko:K07119,ko:K08070",,,
NODE_10253_length_2847_cov_18.374196_g5017_i0,ko:K20617,,,
NODE_102591_length_317_cov_1.164179_g70210_i0,ko:K17973,,,
NODE_102639_length_316_cov_2.996255_g70258_i0,ko:K00761,"ko00240,ko01100,map00240,map01100",,R00966
NODE_102666_length_316_cov_2.531835_g70285_i0,ko:K04733,"ko04010,ko04064,ko04620,ko04621,ko04624,ko04722,ko05133,ko05140,ko05142,ko05145,ko05152,ko05162,ko05164,map04010,map04064,map04620,map04621,map04624,map04722,map05133,map05140,map05142,map05145,map05152,map05162,map05164",M00686,
NODE_102686_length_316_cov_2.142322_g70305_i0,ko:K21596,,,
NODE_102715_length_316_cov_1.917603_g70334_i0,ko:K19613,"ko04014,map04014",,
NODE_102748_length_316_cov_1.580524_g70367_i0,ko:K08852,"ko04140,ko04141,ko04210,ko04932,ko05010,map04140,map04141,map04210,map04932,map05010",,
NODE_102756_length_316_cov_1.558052_g70375_i0,ko:K17604,,,
NODE_10278_length_2844_cov_305.547406_g4485_i1,ko:K09754,"ko00940,ko00941,ko00945,ko01100,ko01110,map00940,map00941,map00945,map01100,map01110",M00039,"R04342,R06582"
NODE_102794_length_316_cov_1.258427_g70413_i0,ko:K01213,"ko00040,ko01100,map00040,map01100",M00081,"R01982,R07413"
NODE_10279_length_2844_cov_301.867263_g5029_i0,"ko:K02150,ko:K22450","ko00190,ko00380,ko01100,ko04145,ko04150,ko04721,ko04966,ko05110,ko05120,ko05323,map00190,map00380,map01100,map04145,map04150,map04721,map04966,map05110,map05120,map05323","M00037,M00160",R02911
NODE_1027_length_5351_cov_26.541117_g504_i0,ko:K04422,"ko04010,map04010",,
NODE_10280_length_2844_cov_255.810733_g5030_i0,ko:K09837,"ko00906,ko01100,ko01110,map00906,map01100,map01110",,"R07531,R07850"
NODE_102876_length_315_cov_2.417293_g70495_i0,ko:K09422,,,
NODE_102899_length_315_cov_2.150376_g70518_i0,ko:K00761,"ko00240,ko01100,map00240,map01100",,R00966
NODE_102907_length_315_cov_2.011278_g70526_i0,ko:K16075,,,
NODE_102928_length_315_cov_1.894737_g70547_i0,ko:K12598,"ko03018,map03018",M00393,
NODE_102933_length_315_cov_1.823308_g70552_i0,ko:K00485,"ko00982,ko01120,map00982,map01120",,R08266
NODE_102986_length_315_cov_1.417293_g70605_i0,ko:K06215,"ko00750,map00750",,R07456
NODE_102997_length_315_cov_1.368421_g70616_i0,ko:K22390,,,
NODE_103014_length_315_cov_1.319549_g70633_i0,ko:K08504,"ko04130,map04130",,
NODE_103027_length_315_cov_1.172932_g70646_i0,ko:K13692,,,
NODE_10302_length_2843_cov_6.401575_g5038_i0,ko:K08592,,,
NODE_103047_length_315_cov_1.052632_g70666_i0,ko:K09250,,,
NODE_10305_length_2842_cov_133.447189_g5039_i0,ko:K12812,"ko03013,ko03015,ko03040,ko05164,map03013,map03015,map03040,map05164","M00406,M00430",
NODE_103069_length_314_cov_10.343396_g70688_i0,"ko:K17710,ko:K17964",,,
NODE_103075_length_314_cov_5.064151_g70694_i0,"ko:K13459,ko:K20599","ko04016,ko04626,map04016,map04626",,
NODE_103096_length_314_cov_2.788679_g70715_i0,ko:K19613,"ko04014,map04014",,
NODE_1030_length_5348_cov_45.474052_g507_i0,ko:K17985,"ko04137,ko04140,map04137,map04140",,
NODE_10310_length_2841_cov_727.698066_g4781_i1,ko:K14484,"ko04075,map04075",,
NODE_10319_length_2841_cov_32.015759_g5048_i0,"ko:K09420,ko:K09422,ko:K21769","ko04151,ko04218,ko05166,map04151,map04218,map05166",,
NODE_1031_length_5348_cov_39.999056_g358_i1,ko:K02261,"ko00190,ko01100,ko04260,ko04714,ko04932,ko05010,ko05012,ko05016,map00190,map01100,map04260,map04714,map04932,map05010,map05012,map05016",M00154,
NODE_10320_length_2840_cov_255.431745_g5049_i0,ko:K06943,"ko03008,map03008",,
NODE_10321_length_2839_cov_206.062724_g2010_i1,ko:K07195,"ko04910,map04910",,
NODE_10322_length_2839_cov_62.809677_g5050_i0,ko:K21847,,,
NODE_10324_length_2839_cov_35.858065_g5051_i0,ko:K09422,,,
NODE_10326_length_2839_cov_6.751613_g5052_i0,ko:K03695,"ko04213,map04213",,
NODE_103275_length_314_cov_1.116981_g70894_i0,ko:K20888,,,
NODE_10333_length_2838_cov_86.821441_g5055_i0,ko:K02607,"ko04110,ko04111,ko04113,map04110,map04111,map04113",M00284,
NODE_103385_length_313_cov_1.905303_g71004_i0,ko:K12854,"ko03040,map03040","M00354,M00355",
NODE_10338_length_2838_cov_33.451775_g5060_i0,ko:K08819,,,
NODE_10339_length_2838_cov_26.261743_g3321_i1,ko:K16865,"ko05205,ko05206,map05205,map05206",,
NODE_103415_length_313_cov_1.651515_g71034_i0,ko:K22184,,,
NODE_10341_length_2838_cov_6.632485_g5061_i0,ko:K13728,"ko04110,ko04114,ko04914,ko05100,ko05131,map04110,map04114,map04914,map05100,map05131",M00293,
NODE_10342_length_2838_cov_5.044102_g5062_i0,ko:K10357,,,
NODE_10348_length_2837_cov_74.720230_g4511_i1,ko:K20182,"ko04138,map04138",,
NODE_10349_length_2837_cov_54.445122_g5065_i0,ko:K17943,,,
NODE_103514_length_313_cov_0.950758_g71133_i0,ko:K04733,"ko04010,ko04064,ko04620,ko04621,ko04624,ko04722,ko05133,ko05140,ko05142,ko05145,ko05152,ko05162,ko05164,map04010,map04064,map04620,map04621,map04624,map04722,map05133,map05140,map05142,map05145,map05152,map05162,map05164",M00686,
NODE_10352_length_2837_cov_39.889527_g4274_i1,ko:K15174,"ko04011,map04011",,
NODE_10365_length_2835_cov_356.440057_g3673_i5,ko:K03347,"ko04110,ko04111,ko04114,ko04120,ko04141,ko04310,ko04340,ko04341,ko04350,ko04710,ko05168,ko05200,map04110,map04111,map04114,map04120,map04141,map04310,map04340,map04341,map04350,map04710,map05168,map05200","M00379,M00380,M00381,M00382,M00387,M00407,M00411",
NODE_103685_length_312_cov_1.384030_g71304_i0,ko:K21989,,,
NODE_10369_length_2835_cov_50.233309_g3571_i1,ko:K12818,"ko03040,map03040",,
NODE_103715_length_312_cov_1.182510_g71334_i0,"ko:K11642,ko:K11643","ko05165,ko05203,map05165,map05203",,
NODE_10373_length_2834_cov_482.643088_g5077_i0,ko:K03526,"ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130",M00096,"R08689,R10859"
NODE_103740_length_312_cov_0.741445_g71359_i0,ko:K12598,"ko03018,map03018",M00393,
NODE_10376_length_2834_cov_208.863555_g1684_i2,ko:K01613,"ko00564,ko01100,ko01110,map00564,map01100,map01110",M00093,R02055
NODE_10386_length_2833_cov_151.061063_g5082_i0,ko:K14834,,,
NODE_10387_length_2833_cov_92.989224_g4595_i1,ko:K00600,"ko00260,ko00460,ko00630,ko00670,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko01523,map00260,map00460,map00630,map00670,map00680,map01100,map01110,map01120,map01130,map01200,map01230,map01523","M00140,M00141,M00346,M00532","R00945,R09099"
NODE_10388_length_2833_cov_20.707256_g5083_i0,ko:K10746,"ko03430,map03430",,
NODE_103891_length_311_cov_1.580153_g71510_i0,ko:K04730,"ko04010,ko04064,ko04620,ko04624,ko04722,ko05133,ko05140,ko05142,ko05145,ko05152,ko05162,ko05169,map04010,map04064,map04620,map04624,map04722,map05133,map05140,map05142,map05145,map05152,map05162,map05169",M00686,
NODE_103916_length_311_cov_1.389313_g71535_i0,ko:K15639,"ko00905,map00905",,"R09761,R09762"
NODE_103926_length_311_cov_1.385496_g71545_i0,ko:K11446,,,
NODE_10393_length_2832_cov_1025.164571_g3591_i2,ko:K01648,"ko00020,ko00720,ko01100,ko01110,ko01120,ko01130,map00020,map00720,map01100,map01110,map01120,map01130",,R00352
NODE_103948_length_311_cov_1.190840_g71567_i0,ko:K09092,,,
NODE_10404_length_2832_cov_21.312253_g5088_i0,ko:K00558,"ko00270,ko01100,ko05206,map00270,map01100,map05206",M00035,R04858
NODE_104051_length_310_cov_2.195402_g71670_i0,"ko:K17710,ko:K17964",,,
NODE_10411_length_2831_cov_41.037024_g5091_i0,ko:K02986,"ko03010,map03010","M00178,M00179",
NODE_10413_length_2830_cov_435.067961_g5092_i0,ko:K08829,,,
NODE_10414_length_2830_cov_225.985257_g3208_i1,ko:K17592,,,
NODE_10415_length_2830_cov_169.136641_g4308_i2,ko:K12603,"ko03018,map03018",,
NODE_10416_length_2830_cov_159.644732_g5093_i0,ko:K13412,"ko04626,ko05145,map04626,map05145",,
NODE_104173_length_310_cov_1.314176_g71792_i0,ko:K17086,,,
NODE_104231_length_309_cov_3.965385_g71850_i0,ko:K16226,"ko04626,map04626",,
NODE_10423_length_2830_cov_6.616325_g5098_i0,ko:K07874,"ko05134,map05134",,
NODE_10424_length_2830_cov_6.169723_g5099_i0,ko:K01653,"ko00290,ko00650,ko00660,ko00770,ko01100,ko01110,ko01130,ko01210,ko01230,map00290,map00650,map00660,map00770,map01100,map01110,map01130,map01210,map01230","M00019,M00570","R00006,R00014,R00226,R03050,R04672,R04673,R08648"
NODE_10427_length_2829_cov_120.902158_g3751_i1,ko:K03549,,,
NODE_10433_length_2829_cov_22.101799_g5103_i0,ko:K22207,"ko00270,map00270",,R00782
